"","Centre","Year","Pass1","Fail1","Total1","Pass1prop","Pass2","Fail2","Total2","Pass2prop","Totalpass","totalFails"
"231","Tralee","2017",11337,10004,21341,0.531230963872358,9429,809,10238,0.920980660285212,20766,10813
"232","Tullamore","2017",10216,9570,19786,0.516324674011928,8942,686,9628,0.928749480681346,19158,10256
"233","Waterford","2017",18938,17334,36272,0.52211071901191,15376,1478,16854,0.912305684110597,34314,18812
"234","Westport","2017",10192,10363,20555,0.495840428119679,9473,741,10214,0.927452516154298,19665,11104
"235","Youghal","2017",7589,7976,15565,0.487568262126566,6982,585,7567,0.922690630368706,14571,8561
"236","Abbeyfeale","2018",8458,6880,15338,0.551440865823445,6370,578,6948,0.916810592976396,14828,7458
"237","Arklow","2018",13093,13520,26613,0.491977604929921,11973,1209,13182,0.908284023668639,25066,14729
"238","Athlone","2018",8593,9574,18167,0.473000495403754,8510,782,9292,0.915841584158416,17103,10356
"239","Ballina","2018",8178,8853,17031,0.480183195349657,8200,589,8789,0.932984412333599,16378,9442
"240","Ballinasloe","2018",8383,7405,15788,0.530972890803142,6690,491,7181,0.931625121849325,15073,7896
"241","Cahir","2018",13122,15268,28390,0.462205001761184,13467,1160,14627,0.920694605865864,26589,16428
"242","Cahirciveen","2018",1654,1591,3245,0.509707241910632,1425,85,1510,0.943708609271523,3079,1676
"243","Carlow","2018",11056,14868,25924,0.426477395463663,12943,1195,14138,0.915476022068185,23999,16063
"244","Carndonagh","2018",3498,3234,6732,0.519607843137255,3066,243,3309,0.926563916591115,6564,3477
"245","Carrick-on-Shannon","2018",5360,7202,12562,0.426683649100462,6472,526,6998,0.924835667333524,11832,7728
"246","Castlerea","2018",5626,8286,13912,0.404399079930995,7144,744,7888,0.905679513184584,12770,9030
"247","Cavan","2018",6105,8967,15072,0.405055732484076,7949,971,8920,0.891143497757848,14054,9938
"248","Charleville","2018",8245,8245,16490,0.5,7474,598,8072,0.92591674925669,15719,8843
"249","Clifden","2018",1773,2449,4222,0.41994315490289,2275,193,2468,0.921799027552674,4048,2642
"250","Cork-Blarney","2018",20614,21764,42378,0.486431639058002,19080,1894,20974,0.90969772098789,39694,23658
"251","Cork-Little Island","2018",33256,30686,63942,0.520096337305683,29576,2318,31894,0.927321753307832,62832,33004
"252","Deansgrange","2018",51663,38548,90211,0.572690691822505,36972,3032,40004,0.924207579242076,88635,41580
"253","Derrybeg","2018",2273,2999,5272,0.431145675265554,2836,137,2973,0.953918600739993,5109,3136
"254","Donegal Town","2018",5468,5399,10867,0.503174749240821,5023,425,5448,0.921989720998532,10491,5824
"255","Drogheda","2018",17326,18405,35731,0.484901066300971,16235,1584,17819,0.91110612267804,33561,19989
"256","Dundalk","2018",10347,10796,21143,0.489381828501159,9941,968,10909,0.91126592721606,20288,11764
"257","Ennis","2018",14656,15612,30268,0.48420774415224,14486,1395,15881,0.912159183930483,29142,17007
"258","Enniscorthy","2018",17341,18192,35533,0.488025215996398,16523,1509,18032,0.916315439219166,33864,19701
"259","Fonthill","2018",35881,46365,82246,0.436264377598911,38238,4027,42265,0.904720217674199,74119,50392
"260","Galway","2018",26520,27015,53535,0.495376856262258,24966,2283,27249,0.91621710888473,51486,29298
"261","Greenhills","2018",30258,32906,63164,0.47903869292635,33503,3489,36992,0.905682309688581,63761,36395
"262","Kells","2018",15817,16614,32431,0.487712373963183,14840,1387,16227,0.914525174092562,30657,18001
"263","Kilkenny","2018",15424,11158,26582,0.580242269204725,10887,732,11619,0.93699974180222,26311,11890
"264","Killarney","2018",9799,8535,18334,0.53447147376459,8173,570,8743,0.93480498684662,17972,9105
"265","Letterkenny","2018",9556,10566,20122,0.474903091144021,10077,822,10899,0.924580236718965,19633,11388
"266","Limerick","2018",24443,25045,49488,0.493917717426447,23964,2316,26280,0.911872146118721,48407,27361
"267","Longford","2018",6587,7449,14036,0.469293245939014,6853,711,7564,0.906002115282919,13440,8160
"268","Macroom","2018",8218,7856,16074,0.511260420554933,7114,414,7528,0.945005313496281,15332,8270
"269","Monaghan","2018",5462,7712,13174,0.414604524062547,7005,817,7822,0.895551009971874,12467,8529
"270","Mullingar","2018",9385,9999,19384,0.484162195625258,9059,738,9797,0.924670817597224,18444,10737
